2025-06-06 21:24:56 | THUMBS UP | THUMBS UP detectado
2025-06-06 21:25:23 | THUMBS UP | THUMBS UP detectado
2025-06-06 21:25:36 | MÃO LEVANTADA | MÃO LEVANTADA detectado
2025-06-06 21:25:43 | MÃO LEVANTADA | MÃO LEVANTADA detectado
2025-06-06 21:25:51 | THUMBS UP | THUMBS UP detectado
2025-06-06 21:26:05 | THUMBS UP | THUMBS UP detectado
2025-06-06 21:26:16 | MÃO LEVANTADA | MÃO LEVANTADA detectado
2025-06-06 21:27:43 | THUMBS UP | THUMBS UP detectado
2025-06-06 22:01:24 | OK SIGN | OK SIGN detectado
2025-06-06 22:01:30 | THUMBS UP | THUMBS UP detectado
2025-06-06 22:01:35 | MÃO LEVANTADA | MÃO LEVANTADA detectado
2025-06-06 22:01:40 | MÃO LEVANTADA | MÃO LEVANTADA detectado
2025-06-06 22:02:01 | MÃO LEVANTADA | MÃO LEVANTADA detectado
2025-06-06 22:22:17 | MÃO LEVANTADA | MÃO LEVANTADA detectado
2025-06-06 22:22:24 | OK SIGN | OK SIGN detectado
2025-06-06 22:22:40 | PUNHO FECHADO | PUNHO FECHADO detectado
2025-06-06 22:22:52 | OK SIGN | OK SIGN detectado
2025-06-06 22:22:56 | THUMBS UP | THUMBS UP detectado
2025-06-06 22:22:59 | THUMBS UP | THUMBS UP detectado
2025-06-06 22:23:00 | THUMBS UP | THUMBS UP detectado
2025-06-06 22:23:07 | THUMBS UP | THUMBS UP detectado
2025-06-06 22:28:19 | THUMBS UP | THUMBS UP detectado
2025-06-06 22:32:15 | THUMBS UP | THUMBS UP detectado
2025-06-06 22:32:16 | THUMBS UP | THUMBS UP detectado
2025-06-06 22:32:18 | MÃO LEVANTADA | MÃO LEVANTADA detectado
2025-06-06 22:32:18 | MÃO LEVANTADA | MÃO LEVANTADA detectado
2025-06-06 22:32:19 | MÃO LEVANTADA | MÃO LEVANTADA detectado
2025-06-06 22:32:20 | MÃO LEVANTADA | MÃO LEVANTADA detectado
